State,Year,Age,Total
Melaka,1992,30 to 34,32000
Melaka,1992,35 to 39,22100
Melaka,1992,40 to 44,22600
Melaka,1992,45 to 49,17800
Melaka,1992,50 to 54,15300
Melaka,1992,55 to 59,7700
Melaka,1992,60 to 64,4600
Melaka,1993,15 to 19,20900
Melaka,1993,20 to 24,37500
Melaka,1993,25 to 29,28900
Melaka,1993,30 to 34,32300
Melaka,1993,35 to 39,36500
Melaka,1993,40 to 44,24900
Melaka,1993,45 to 49,16100
Melaka,1993,50 to 54,14000
Melaka,1993,55 to 59,9100
Melaka,1993,60 to 64,5400
Melaka,1995,15 to 19,19500
Melaka,1995,20 to 24,39500
Melaka,1995,25 to 29,33800
Melaka,1995,30 to 34,32900
Melaka,1995,35 to 39,31400
Melaka,1995,40 to 44,25700
Melaka,1995,45 to 49,19500
Melaka,1995,50 to 54,12300
Melaka,1995,55 to 59,8500
Melaka,1995,60 to 64,4800
Melaka,1996,15 to 19,18500
Melaka,1996,20 to 24,41600
Melaka,1996,25 to 29,36100
Melaka,1996,30 to 34,35100
Melaka,1996,35 to 39,33200
Melaka,1996,40 to 44,27400
Melaka,1996,45 to 49,20300
Melaka,1996,50 to 54,13600
Melaka,1996,55 to 59,8200
Melaka,1996,60 to 64,6700
Melaka,1997,15 to 19,20400
Melaka,1997,20 to 24,47900
Melaka,1997,25 to 29,40000
Melaka,1997,30 to 34,38400
Melaka,1997,35 to 39,34800
Melaka,1997,40 to 44,28200
Melaka,1997,45 to 49,22400
Melaka,1997,50 to 54,14500
Melaka,1997,55 to 59,9400
Melaka,1997,60 to 64,5400
Melaka,1998,15 to 19,14500
Melaka,1998,20 to 24,41100
Melaka,1998,25 to 29,39400
Melaka,1998,30 to 34,38300
Melaka,1998,35 to 39,34700
Melaka,1998,40 to 44,28800
Melaka,1998,45 to 49,23100
Melaka,1998,50 to 54,15900
Melaka,1998,55 to 59,8200
Melaka,1998,60 to 64,4700
Melaka,1999,15 to 19,14200
Melaka,1999,20 to 24,44900
Melaka,1999,25 to 29,39100
Melaka,1999,30 to 34,35200
Melaka,1999,35 to 39,33900
Melaka,1999,40 to 44,27500
Melaka,1999,45 to 49,23500
Melaka,1999,50 to 54,16100
Melaka,1999,55 to 59,8600
Melaka,1999,60 to 64,4700
Melaka,2000,15 to 19,14600
Melaka,2000,20 to 24,47500
Melaka,2000,25 to 29,38400
Melaka,2000,30 to 34,37800
Melaka,2000,35 to 39,33600
Melaka,2000,40 to 44,28700
Melaka,2000,45 to 49,23600
Melaka,2000,50 to 54,18600
Melaka,2000,55 to 59,8300
Melaka,2000,60 to 64,5800
Melaka,2001,15 to 19,15400
Melaka,2001,20 to 24,44200
Melaka,2001,25 to 29,41600
Melaka,2001,30 to 34,40800
Melaka,2001,35 to 39,36500
Melaka,2001,40 to 44,34000
Melaka,2001,45 to 49,27000
Melaka,2001,50 to 54,17900
Melaka,2001,55 to 59,9200
Melaka,2001,60 to 64,5900
Melaka,2002,15 to 19,13200
Melaka,2002,20 to 24,34800
Melaka,2002,25 to 29,36100
Melaka,2002,30 to 34,33100
Melaka,2002,35 to 39,33400
Melaka,2002,40 to 44,30100
Melaka,2002,45 to 49,24500
Melaka,2002,50 to 54,16900
Melaka,2002,55 to 59,9100
Melaka,2002,60 to 64,5000
Melaka,2003,15 to 19,19800
Melaka,2003,20 to 24,52300
Melaka,2003,25 to 29,41000
Melaka,2003,30 to 34,37000
Melaka,2003,35 to 39,36400
Melaka,2003,40 to 44,31600
Melaka,2003,45 to 49,26700
Melaka,2003,50 to 54,17700
Melaka,2003,55 to 59,12400
Melaka,2003,60 to 64,5700
Melaka,2004,15 to 19,14500
Melaka,2004,20 to 24,43300
Melaka,2004,25 to 29,42600
Melaka,2004,30 to 34,36700
Melaka,2004,35 to 39,35900
Melaka,2004,40 to 44,31800
Melaka,2004,45 to 49,27700
Melaka,2004,50 to 54,20300
Melaka,2004,55 to 59,10800
Melaka,2004,60 to 64,6000
Melaka,2005,15 to 19,10500
Melaka,2005,20 to 24,44600
Melaka,2005,25 to 29,43800
Melaka,2005,30 to 34,39600
Melaka,2005,35 to 39,37700
Melaka,2005,40 to 44,32400
Melaka,2005,45 to 49,27500
Melaka,2005,50 to 54,20700
Melaka,2005,55 to 59,11800
Melaka,2005,60 to 64,5900
Melaka,2006,15 to 19,12000
Melaka,2006,20 to 24,43500
Melaka,2006,25 to 29,44900
Melaka,2006,30 to 34,38600
Melaka,2006,35 to 39,37500
Melaka,2006,40 to 44,32700
Melaka,2006,45 to 49,28800
Melaka,2006,50 to 54,21700
Melaka,2006,55 to 59,11400
Melaka,2006,60 to 64,5600
Melaka,2007,15 to 19,12400
Melaka,2007,20 to 24,46700
Melaka,2007,25 to 29,48600
Melaka,2007,30 to 34,39100
Melaka,2007,35 to 39,38100
Melaka,2007,40 to 44,34400
Melaka,2007,45 to 49,29500
Melaka,2007,50 to 54,23200
Melaka,2007,55 to 59,11800
Melaka,2007,60 to 64,6500
Melaka,2008,15 to 19,10500
Melaka,2008,20 to 24,42700
Melaka,2008,25 to 29,51100
Melaka,2008,30 to 34,40200
Melaka,2008,35 to 39,37500
Melaka,2008,40 to 44,35200
Melaka,2008,45 to 49,30500
Melaka,2008,50 to 54,22900
Melaka,2008,55 to 59,12700
Melaka,2008,60 to 64,6400
Melaka,2009,15 to 19,10400
Melaka,2009,20 to 24,43400
Melaka,2009,25 to 29,51900
Melaka,2009,30 to 34,40800
Melaka,2009,35 to 39,37500
Melaka,2009,40 to 44,34800
Melaka,2009,45 to 49,29600
Melaka,2009,50 to 54,24000
Melaka,2009,55 to 59,12900
Melaka,2009,60 to 64,5600
Melaka,2010,15 to 19,16500
Melaka,2010,20 to 24,52700
Melaka,2010,25 to 29,60100
Melaka,2010,30 to 34,43300
Melaka,2010,35 to 39,39200
Melaka,2010,40 to 44,39900
Melaka,2010,45 to 49,36600
Melaka,2010,50 to 54,27700
Melaka,2010,55 to 59,15000
Melaka,2010,60 to 64,7500
Melaka,2011,15 to 19,15200
Melaka,2011,20 to 24,48600
Melaka,2011,25 to 29,62700
Melaka,2011,30 to 34,47000
Melaka,2011,35 to 39,39800
Melaka,2011,40 to 44,38700
Melaka,2011,45 to 49,37400
Melaka,2011,50 to 54,29700
Melaka,2011,55 to 59,16500
Melaka,2011,60 to 64,7600
Melaka,2012,15 to 19,16200
Melaka,2012,20 to 24,52600
Melaka,2012,25 to 29,64800
Melaka,2012,30 to 34,50200
Melaka,2012,35 to 39,40300
Melaka,2012,40 to 44,39200
Melaka,2012,45 to 49,37000
Melaka,2012,50 to 54,31400
Melaka,2012,55 to 59,17300
Melaka,2012,60 to 64,9800
Melaka,2013,15 to 19,15800
Melaka,2013,20 to 24,53800
Melaka,2013,25 to 29,66400
Melaka,2013,30 to 34,53500
Melaka,2013,35 to 39,42000
Melaka,2013,40 to 44,39600
Melaka,2013,45 to 49,38800
Melaka,2013,50 to 54,35400
Melaka,2013,55 to 59,21900
Melaka,2013,60 to 64,11000
Melaka,2014,15 to 19,15800
Melaka,2014,20 to 24,59500
Melaka,2014,25 to 29,68400
Melaka,2014,30 to 34,57700
Melaka,2014,35 to 39,44700
Melaka,2014,40 to 44,39400
Melaka,2014,45 to 49,40300
Melaka,2014,50 to 54,37000
Melaka,2014,55 to 59,23700
Melaka,2014,60 to 64,11900
Melaka,2015,15 to 19,15600
Melaka,2015,20 to 24,57500
Melaka,2015,25 to 29,72300
Melaka,2015,30 to 34,58200
Melaka,2015,35 to 39,45900
Melaka,2015,40 to 44,39700
Melaka,2015,45 to 49,40200
Melaka,2015,50 to 54,36400
Melaka,2015,55 to 59,24200
Melaka,2015,60 to 64,12400
Melaka,2016,15 to 19,15600
Melaka,2016,20 to 24,60300
Melaka,2016,25 to 29,67800
Melaka,2016,30 to 34,61100
Melaka,2016,35 to 39,47300
Melaka,2016,40 to 44,39500
Melaka,2016,45 to 49,39600
Melaka,2016,50 to 54,36100
Melaka,2016,55 to 59,23200
Melaka,2016,60 to 64,10300
Melaka,2017,15 to 19,13700
Melaka,2017,20 to 24,62800
Melaka,2017,25 to 29,77000
Melaka,2017,30 to 34,61800
Melaka,2017,35 to 39,47200
Melaka,2017,40 to 44,39600
Melaka,2017,45 to 49,39200
Melaka,2017,50 to 54,34700
Melaka,2017,55 to 59,23900
Melaka,2017,60 to 64,10300
Melaka,2018,15 to 19,14300
Melaka,2018,20 to 24,65300
Melaka,2018,25 to 29,79700
Melaka,2018,30 to 34,64300
Melaka,2018,35 to 39,49900
Melaka,2018,40 to 44,39800
Melaka,2018,45 to 49,38000
Melaka,2018,50 to 54,35900
Melaka,2018,55 to 59,23100
Melaka,2018,60 to 64,11000
Melaka,2019,15 to 19,13500
Melaka,2019,20 to 24,61500
Melaka,2019,25 to 29,83800
Melaka,2019,30 to 34,67000
Melaka,2019,35 to 39,52900
Melaka,2019,40 to 44,41800
Melaka,2019,45 to 49,38800
Melaka,2019,50 to 54,36300
Melaka,2019,55 to 59,25900
Melaka,2019,60 to 64,11300
Melaka,2020,15 to 19,9300
Melaka,2020,20 to 24,60100
Melaka,2020,25 to 29,87700
Melaka,2020,30 to 34,66600
Melaka,2020,35 to 39,54500
Melaka,2020,40 to 44,40400
Melaka,2020,45 to 49,37800
Melaka,2020,50 to 54,34000
Melaka,2020,55 to 59,25800
Melaka,2020,60 to 64,10700
Melaka,2021,15 to 19,12900
Melaka,2021,20 to 24,56700
Melaka,2021,25 to 29,99200
Melaka,2021,30 to 34,71700
Melaka,2021,35 to 39,56700
Melaka,2021,40 to 44,41800
Melaka,2021,45 to 49,36600
Melaka,2021,50 to 54,33900
Melaka,2021,55 to 59,25500
Melaka,2021,60 to 64,9000
Negeri Sembilan,1982,15 to 19,28000
Negeri Sembilan,1982,20 to 24,41000
Negeri Sembilan,1982,25 to 29,34600
Negeri Sembilan,1982,30 to 34,29100
Negeri Sembilan,1982,35 to 39,22600
Negeri Sembilan,1982,40 to 44,23900
Negeri Sembilan,1982,45 to 49,18500
Negeri Sembilan,1982,50 to 54,13800
Negeri Sembilan,1982,55 to 59,7100
Negeri Sembilan,1982,60 to 64,4200
Negeri Sembilan,1983,15 to 19,22700
Negeri Sembilan,1983,20 to 24,41800
Negeri Sembilan,1983,25 to 29,33700
Negeri Sembilan,1983,30 to 34,29100
Negeri Sembilan,1983,35 to 39,18000
Negeri Sembilan,1983,40 to 44,29300
Negeri Sembilan,1983,45 to 49,19400
Negeri Sembilan,1983,50 to 54,15800
Negeri Sembilan,1983,55 to 59,7800
Negeri Sembilan,1983,60 to 64,5900
Negeri Sembilan,1984,15 to 19,21800
Negeri Sembilan,1984,20 to 24,43800
Negeri Sembilan,1984,25 to 29,39200
Negeri Sembilan,1984,30 to 34,33700
Negeri Sembilan,1984,35 to 39,23500
Negeri Sembilan,1984,40 to 44,22200
Negeri Sembilan,1984,45 to 49,22500
Negeri Sembilan,1984,50 to 54,14600
Negeri Sembilan,1984,55 to 59,9200
Negeri Sembilan,1984,60 to 64,4500
Negeri Sembilan,1985,15 to 19,19800
Negeri Sembilan,1985,20 to 24,38600
Negeri Sembilan,1985,25 to 29,34200
Negeri Sembilan,1985,30 to 34,32400
Negeri Sembilan,1985,35 to 39,27900
Negeri Sembilan,1985,40 to 44,22400
Negeri Sembilan,1985,45 to 49,21200
Negeri Sembilan,1985,50 to 54,12700
Negeri Sembilan,1985,55 to 59,8800
Negeri Sembilan,1985,60 to 64,3200
Negeri Sembilan,1986,15 to 19,22000
Negeri Sembilan,1986,20 to 24,40500
Negeri Sembilan,1986,25 to 29,38600
Negeri Sembilan,1986,30 to 34,33300
Negeri Sembilan,1986,35 to 39,27400
Negeri Sembilan,1986,40 to 44,17600
Negeri Sembilan,1986,45 to 49,22800
Negeri Sembilan,1986,50 to 54,12200
Negeri Sembilan,1986,55 to 59,9900
Negeri Sembilan,1986,60 to 64,5200
Negeri Sembilan,1987,15 to 19,21000
Negeri Sembilan,1987,20 to 24,41300
Negeri Sembilan,1987,25 to 29,38900
Negeri Sembilan,1987,30 to 34,37100
Negeri Sembilan,1987,35 to 39,33400
Negeri Sembilan,1987,40 to 44,20100
Negeri Sembilan,1987,45 to 49,19900
Negeri Sembilan,1987,50 to 54,14300
Negeri Sembilan,1987,55 to 59,9300
Negeri Sembilan,1987,60 to 64,4800
Negeri Sembilan,1988,15 to 19,25100
Negeri Sembilan,1988,20 to 24,44000
Negeri Sembilan,1988,25 to 29,37300
Negeri Sembilan,1988,30 to 34,33800
Negeri Sembilan,1988,35 to 39,31000
Negeri Sembilan,1988,40 to 44,21400
Negeri Sembilan,1988,45 to 49,20500
Negeri Sembilan,1988,50 to 54,16000
Negeri Sembilan,1988,55 to 59,8400
Negeri Sembilan,1988,60 to 64,5000
Negeri Sembilan,1989,15 to 19,24000
Negeri Sembilan,1989,20 to 24,36300
Negeri Sembilan,1989,25 to 29,38200
Negeri Sembilan,1989,30 to 34,35000
Negeri Sembilan,1989,35 to 39,33900
Negeri Sembilan,1989,40 to 44,23900
Negeri Sembilan,1989,45 to 49,19200
Negeri Sembilan,1989,50 to 54,15600
Negeri Sembilan,1989,55 to 59,8900
Negeri Sembilan,1989,60 to 64,6000
Negeri Sembilan,1990,15 to 19,18600
Negeri Sembilan,1990,20 to 24,36100
Negeri Sembilan,1990,25 to 29,33400
Negeri Sembilan,1990,30 to 34,32200
Negeri Sembilan,1990,35 to 39,27700
Negeri Sembilan,1990,40 to 44,25300
Negeri Sembilan,1990,45 to 49,17800
Negeri Sembilan,1990,50 to 54,18500
Negeri Sembilan,1990,55 to 59,9300
Negeri Sembilan,1990,60 to 64,5600
Negeri Sembilan,1992,15 to 19,20900
Negeri Sembilan,1992,20 to 24,40600
Negeri Sembilan,1992,25 to 29,37600
Negeri Sembilan,1992,30 to 34,40500
Negeri Sembilan,1992,35 to 39,37800
Negeri Sembilan,1992,40 to 44,27900
Negeri Sembilan,1992,45 to 49,19200
Negeri Sembilan,1992,50 to 54,17500
Negeri Sembilan,1992,55 to 59,11800
Negeri Sembilan,1992,60 to 64,6000
Negeri Sembilan,1993,15 to 19,26800
Negeri Sembilan,1993,20 to 24,41600
Negeri Sembilan,1993,25 to 29,49200
Negeri Sembilan,1993,30 to 34,42200
Negeri Sembilan,1993,35 to 39,41400
Negeri Sembilan,1993,40 to 44,32200
Negeri Sembilan,1993,45 to 49,20200
Negeri Sembilan,1993,50 to 54,17500
Negeri Sembilan,1993,55 to 59,13100
Negeri Sembilan,1993,60 to 64,8300
Negeri Sembilan,1995,15 to 19,27800
Negeri Sembilan,1995,20 to 24,44700
Negeri Sembilan,1995,25 to 29,41200
Negeri Sembilan,1995,30 to 34,42500
Negeri Sembilan,1995,35 to 39,41200
Negeri Sembilan,1995,40 to 44,36500
Negeri Sembilan,1995,45 to 49,29800
Negeri Sembilan,1995,50 to 54,20100
Negeri Sembilan,1995,55 to 59,14400
Negeri Sembilan,1995,60 to 64,7400
Negeri Sembilan,1996,15 to 19,26300
Negeri Sembilan,1996,20 to 24,51200
Negeri Sembilan,1996,25 to 29,49400
Negeri Sembilan,1996,30 to 34,47300
Negeri Sembilan,1996,35 to 39,46300
Negeri Sembilan,1996,40 to 44,40000
Negeri Sembilan,1996,45 to 49,27900
Negeri Sembilan,1996,50 to 54,19500
Negeri Sembilan,1996,55 to 59,12600
Negeri Sembilan,1996,60 to 64,6900
Negeri Sembilan,1997,15 to 19,23400
Negeri Sembilan,1997,20 to 24,50600
Negeri Sembilan,1997,25 to 29,44000
Negeri Sembilan,1997,30 to 34,45100
Negeri Sembilan,1997,35 to 39,45700
Negeri Sembilan,1997,40 to 44,41700
Negeri Sembilan,1997,45 to 49,28700
Negeri Sembilan,1997,50 to 54,16000
Negeri Sembilan,1997,55 to 59,12200
Negeri Sembilan,1997,60 to 64,8300
Negeri Sembilan,1998,15 to 19,25300
Negeri Sembilan,1998,20 to 24,52700
Negeri Sembilan,1998,25 to 29,43100
Negeri Sembilan,1998,30 to 34,42400
Negeri Sembilan,1998,35 to 39,41000
Negeri Sembilan,1998,40 to 44,40900
Negeri Sembilan,1998,45 to 49,32000
Negeri Sembilan,1998,50 to 54,19200
Negeri Sembilan,1998,55 to 59,11900
Negeri Sembilan,1998,60 to 64,7200
Negeri Sembilan,1999,15 to 19,18200
Negeri Sembilan,1999,20 to 24,43000
Negeri Sembilan,1999,25 to 29,39800
Negeri Sembilan,1999,30 to 34,39100
Negeri Sembilan,1999,35 to 39,40700
Negeri Sembilan,1999,40 to 44,40100
Negeri Sembilan,1999,45 to 49,30800
Negeri Sembilan,1999,50 to 54,17600
Negeri Sembilan,1999,55 to 59,10200
Negeri Sembilan,1999,60 to 64,6200
Negeri Sembilan,2000,15 to 19,22300
Negeri Sembilan,2000,20 to 24,60400
Negeri Sembilan,2000,25 to 29,55800
Negeri Sembilan,2000,30 to 34,48500
Negeri Sembilan,2000,35 to 39,50200
Negeri Sembilan,2000,40 to 44,43900
Negeri Sembilan,2000,45 to 49,33000
Negeri Sembilan,2000,50 to 54,24700
Negeri Sembilan,2000,55 to 59,13600
Negeri Sembilan,2000,60 to 64,7300
Negeri Sembilan,2001,15 to 19,20700
Negeri Sembilan,2001,20 to 24,56600
Negeri Sembilan,2001,25 to 29,54800
Negeri Sembilan,2001,30 to 34,50100
Negeri Sembilan,2001,35 to 39,47500
Negeri Sembilan,2001,40 to 44,46000
Negeri Sembilan,2001,45 to 49,38900
Negeri Sembilan,2001,50 to 54,24600
Negeri Sembilan,2001,55 to 59,14800
Negeri Sembilan,2001,60 to 64,8900
Negeri Sembilan,2002,15 to 19,19300
Negeri Sembilan,2002,20 to 24,48400
Negeri Sembilan,2002,25 to 29,48200
Negeri Sembilan,2002,30 to 34,46200
Negeri Sembilan,2002,35 to 39,46400
Negeri Sembilan,2002,40 to 44,42800
Negeri Sembilan,2002,45 to 49,37900
Negeri Sembilan,2002,50 to 54,26700
Negeri Sembilan,2002,55 to 59,13100
Negeri Sembilan,2002,60 to 64,8200
Negeri Sembilan,2003,15 to 19,21100
Negeri Sembilan,2003,20 to 24,52300
Negeri Sembilan,2003,25 to 29,52000
Negeri Sembilan,2003,30 to 34,43000
Negeri Sembilan,2003,35 to 39,46800
Negeri Sembilan,2003,40 to 44,43400
Negeri Sembilan,2003,45 to 49,39100
Negeri Sembilan,2003,50 to 54,30700
Negeri Sembilan,2003,55 to 59,14600
Negeri Sembilan,2003,60 to 64,9400
Negeri Sembilan,2004,15 to 19,18000
Negeri Sembilan,2004,20 to 24,58400
Negeri Sembilan,2004,25 to 29,59100
Negeri Sembilan,2004,30 to 34,51400
Negeri Sembilan,2004,35 to 39,47600
Negeri Sembilan,2004,40 to 44,44600
Negeri Sembilan,2004,45 to 49,41200
Negeri Sembilan,2004,50 to 54,30600
Negeri Sembilan,2004,55 to 59,15000
Negeri Sembilan,2004,60 to 64,7700
Negeri Sembilan,2005,15 to 19,19900
Negeri Sembilan,2005,20 to 24,65000
Negeri Sembilan,2005,25 to 29,62000
Negeri Sembilan,2005,30 to 34,52800
Negeri Sembilan,2005,35 to 39,47700
Negeri Sembilan,2005,40 to 44,43700
Negeri Sembilan,2005,45 to 49,40900
Negeri Sembilan,2005,50 to 54,30900
Negeri Sembilan,2005,55 to 59,15600
Negeri Sembilan,2005,60 to 64,8200
Negeri Sembilan,2006,15 to 19,16300
Negeri Sembilan,2006,20 to 24,65400
Negeri Sembilan,2006,25 to 29,65200
Negeri Sembilan,2006,30 to 34,52300
Negeri Sembilan,2006,35 to 39,49500
Negeri Sembilan,2006,40 to 44,45300
Negeri Sembilan,2006,45 to 49,41700
Negeri Sembilan,2006,50 to 54,32300
Negeri Sembilan,2006,55 to 59,17700
Negeri Sembilan,2006,60 to 64,8700
Negeri Sembilan,2007,15 to 19,16200
Negeri Sembilan,2007,20 to 24,64800
Negeri Sembilan,2007,25 to 29,65700
Negeri Sembilan,2007,30 to 34,53500
Negeri Sembilan,2007,35 to 39,50000
Negeri Sembilan,2007,40 to 44,44500
Negeri Sembilan,2007,45 to 49,41500
Negeri Sembilan,2007,50 to 54,34000
Negeri Sembilan,2007,55 to 59,16600
Negeri Sembilan,2007,60 to 64,8900
Negeri Sembilan,2008,15 to 19,15100
Negeri Sembilan,2008,20 to 24,63600
Negeri Sembilan,2008,25 to 29,68900
Negeri Sembilan,2008,30 to 34,54100
Negeri Sembilan,2008,35 to 39,48800
Negeri Sembilan,2008,40 to 44,45800
Negeri Sembilan,2008,45 to 49,40800
Negeri Sembilan,2008,50 to 54,34100
Negeri Sembilan,2008,55 to 59,19200
Negeri Sembilan,2008,60 to 64,9100
Negeri Sembilan,2009,15 to 19,12900
Negeri Sembilan,2009,20 to 24,62900
Negeri Sembilan,2009,25 to 29,70100
Negeri Sembilan,2009,30 to 34,56500
Negeri Sembilan,2009,35 to 39,50700
Negeri Sembilan,2009,40 to 44,47800
Negeri Sembilan,2009,45 to 49,40100
Negeri Sembilan,2009,50 to 54,33900
Negeri Sembilan,2009,55 to 59,19300
Negeri Sembilan,2009,60 to 64,8000
Negeri Sembilan,2010,15 to 19,18400
Negeri Sembilan,2010,20 to 24,66000
Negeri Sembilan,2010,25 to 29,70800
Negeri Sembilan,2010,30 to 34,57000
Negeri Sembilan,2010,35 to 39,50200
Negeri Sembilan,2010,40 to 44,45100
Negeri Sembilan,2010,45 to 49,42400
Negeri Sembilan,2010,50 to 54,36600
Negeri Sembilan,2010,55 to 59,21500
Negeri Sembilan,2010,60 to 64,10300
Negeri Sembilan,2011,15 to 19,15800
Negeri Sembilan,2011,20 to 24,65700
Negeri Sembilan,2011,25 to 29,72100
Negeri Sembilan,2011,30 to 34,60200
Negeri Sembilan,2011,35 to 39,51700
Negeri Sembilan,2011,40 to 44,46100
Negeri Sembilan,2011,45 to 49,45100
Negeri Sembilan,2011,50 to 54,39300
Negeri Sembilan,2011,55 to 59,22600
Negeri Sembilan,2011,60 to 64,10500
Negeri Sembilan,2012,15 to 19,21200
Negeri Sembilan,2012,20 to 24,70800
Negeri Sembilan,2012,25 to 29,78700
Negeri Sembilan,2012,30 to 34,60000
Negeri Sembilan,2012,35 to 39,52500
Negeri Sembilan,2012,40 to 44,46600
Negeri Sembilan,2012,45 to 49,45600
Negeri Sembilan,2012,50 to 54,40100
Negeri Sembilan,2012,55 to 59,25800
Negeri Sembilan,2012,60 to 64,14300
Negeri Sembilan,2013,15 to 19,22600
Negeri Sembilan,2013,20 to 24,72900
Negeri Sembilan,2013,25 to 29,82600
Negeri Sembilan,2013,30 to 34,64800
Negeri Sembilan,2013,35 to 39,55400
Negeri Sembilan,2013,40 to 44,49100
Negeri Sembilan,2013,45 to 49,46300
Negeri Sembilan,2013,50 to 54,42000
Negeri Sembilan,2013,55 to 59,28700
Negeri Sembilan,2013,60 to 64,14400
Negeri Sembilan,2014,15 to 19,19600
Negeri Sembilan,2014,20 to 24,75200
Negeri Sembilan,2014,25 to 29,82600
Negeri Sembilan,2014,30 to 34,67500
Negeri Sembilan,2014,35 to 39,55900
Negeri Sembilan,2014,40 to 44,48300
Negeri Sembilan,2014,45 to 49,45300
Negeri Sembilan,2014,50 to 54,42800
Negeri Sembilan,2014,55 to 59,28000
Negeri Sembilan,2014,60 to 64,15700
Negeri Sembilan,2015,15 to 19,16400
Negeri Sembilan,2015,20 to 24,71200
Negeri Sembilan,2015,25 to 29,86700
Negeri Sembilan,2015,30 to 34,68200
Negeri Sembilan,2015,35 to 39,57600
Negeri Sembilan,2015,40 to 44,49200
Negeri Sembilan,2015,45 to 49,45600
Negeri Sembilan,2015,50 to 54,41800
Negeri Sembilan,2015,55 to 59,30900
Negeri Sembilan,2015,60 to 64,16000
Negeri Sembilan,2016,15 to 19,12000
Negeri Sembilan,2016,20 to 24,74500
Negeri Sembilan,2016,25 to 29,87500
Negeri Sembilan,2016,30 to 34,68400
Negeri Sembilan,2016,35 to 39,57700
Negeri Sembilan,2016,40 to 44,48100
Negeri Sembilan,2016,45 to 49,45400
Negeri Sembilan,2016,50 to 54,42200
Negeri Sembilan,2016,55 to 59,29700
Negeri Sembilan,2016,60 to 64,14200
Negeri Sembilan,2017,15 to 19,15800
Negeri Sembilan,2017,20 to 24,76800
Negeri Sembilan,2017,25 to 29,90800
Negeri Sembilan,2017,30 to 34,72200
Negeri Sembilan,2017,35 to 39,57600
Negeri Sembilan,2017,40 to 44,49500
Negeri Sembilan,2017,45 to 49,45800
Negeri Sembilan,2017,50 to 54,39800
Negeri Sembilan,2017,55 to 59,28700
Negeri Sembilan,2017,60 to 64,14100
Negeri Sembilan,2018,15 to 19,22500
Negeri Sembilan,2018,20 to 24,72100
Negeri Sembilan,2018,25 to 29,91700
Negeri Sembilan,2018,30 to 34,76700
Negeri Sembilan,2018,35 to 39,58800
Negeri Sembilan,2018,40 to 44,50400
Negeri Sembilan,2018,45 to 49,45700
Negeri Sembilan,2018,50 to 54,41200
Negeri Sembilan,2018,55 to 59,30000
Negeri Sembilan,2018,60 to 64,14400
Negeri Sembilan,2019,15 to 19,16100
Negeri Sembilan,2019,20 to 24,71600
Negeri Sembilan,2019,25 to 29,94500
Negeri Sembilan,2019,30 to 34,79800
Negeri Sembilan,2019,35 to 39,61100
Negeri Sembilan,2019,40 to 44,50900
Negeri Sembilan,2019,45 to 49,44400
Negeri Sembilan,2019,50 to 54,40300
Negeri Sembilan,2019,55 to 59,28100
Negeri Sembilan,2019,60 to 64,11000
Negeri Sembilan,2020,15 to 19,17400
Negeri Sembilan,2020,20 to 24,70300
Negeri Sembilan,2020,25 to 29,91600
Negeri Sembilan,2020,30 to 34,80900
Negeri Sembilan,2020,35 to 39,59300
Negeri Sembilan,2020,40 to 44,51300
Negeri Sembilan,2020,45 to 49,43700
Negeri Sembilan,2020,50 to 54,38300
Negeri Sembilan,2020,55 to 59,27500
Negeri Sembilan,2020,60 to 64,12700
Negeri Sembilan,2021,15 to 19,11600
Negeri Sembilan,2021,20 to 24,74100
Negeri Sembilan,2021,25 to 29,95600
Negeri Sembilan,2021,30 to 34,82700
Negeri Sembilan,2021,35 to 39,60900
Negeri Sembilan,2021,40 to 44,48600
Negeri Sembilan,2021,45 to 49,44400
Negeri Sembilan,2021,50 to 54,34600
Negeri Sembilan,2021,55 to 59,23800
Negeri Sembilan,2021,60 to 64,11500
Pahang,1982,15 to 19,36200
Pahang,1982,20 to 24,54900
Pahang,1982,25 to 29,43700
Pahang,1982,30 to 34,39400
Pahang,1982,35 to 39,31400
Pahang,1982,40 to 44,28600
Pahang,1982,45 to 49,18400
Pahang,1982,50 to 54,11500
Pahang,1982,55 to 59,9900
Pahang,1982,60 to 64,5700
Pahang,1983,15 to 19,35500
Pahang,1983,20 to 24,67500
Pahang,1983,25 to 29,57900
Pahang,1983,30 to 34,56000
Pahang,1983,35 to 39,35000
Pahang,1983,40 to 44,32900
Pahang,1983,45 to 49,27900
Pahang,1983,50 to 54,14600
Pahang,1983,55 to 59,8100
Pahang,1983,60 to 64,7200
Pahang,1984,15 to 19,38500
Pahang,1984,20 to 24,61200
Pahang,1984,25 to 29,53600
Pahang,1984,30 to 34,45600
Pahang,1984,35 to 39,36300
Pahang,1984,40 to 44,30700
Pahang,1984,45 to 49,25400
Pahang,1984,50 to 54,13600
Pahang,1984,55 to 59,9500
Pahang,1984,60 to 64,7200
Pahang,1985,15 to 19,42000
Pahang,1985,20 to 24,66200
Pahang,1985,25 to 29,54700
Pahang,1985,30 to 34,47800
Pahang,1985,35 to 39,40000
Pahang,1985,40 to 44,30800
Pahang,1985,45 to 49,28700
Pahang,1985,50 to 54,15000
Pahang,1985,55 to 59,10400
Pahang,1985,60 to 64,7100
Pahang,1986,15 to 19,40700
Pahang,1986,20 to 24,61400
Pahang,1986,25 to 29,51100
Pahang,1986,30 to 34,45600
